Comment,Designator,Footprint,LCSC Part #
"CR1220","BT1","CR1220-2","C70381"
"100n","C27","C0603","C14663"
"1N4148WS","D1","SOD-323","C2128"
"B5819W","D2","SOD-123","C8598"
"B5819W","D3","SOD-123","C8598"
"B5819W","D4","SOD-123","C8598"
"B5819W","D5","SOD-123","C8598"
"12H1500D","F1","PAD-1206-PAD","C182446"
"12H1500D","F2","PAD-1206-PAD","C182446"
"50mA","F5","Fuse_0603_1608Metric","C369141"
"50mA","F6","Fuse_0603_1608Metric","C369141"
"50mA","F7","Fuse_0603_1608Metric","C369141"
"50mA","F8","Fuse_0603_1608Metric","C369141"
"M3","H1","MountingHole_3.2mm_M3_Pad_Via",""
"M3","H2","MountingHole_3.2mm_M3_Pad_Via",""
"M3","H3","MountingHole_3.2mm_M3_Pad_Via",""
"M3","H4","MountingHole_3.2mm_M3_Pad_Via",""
"Conn_02x02_Odd_Even","J1","PinSocket_2x02_P2.54mm_Vertical",""
"5569-06A2","J3","Molex_Mini-Fit_Jr_5569-06A2_2x03_P4.20mm_Horizontal","C293509"
"Conn_01x06","J6","PinHeader_1x06_P2.54mm_Vertical","C37208"
"Conn_01x05_Male","J7","Molex_SPOX_5267-05A_1x05_P2.50mm_Vertical",""
"USB_B_Mini","J8","USB-MINI-B-VERTICAL",""
"USB_C","J9","USB_C","C2927038"
"Conn_02x02_Odd_Even","J11","PinSocket_2x02_P2.54mm_Vertical",""
"Conn_02x02_Odd_Even","J12","PinSocket_2x02_P2.54mm_Vertical",""
"Conn_02x02_Odd_Even","J13","PinSocket_2x02_P2.54mm_Vertical",""
"Conn_02x02_Odd_Even","J14","PinSocket_2x02_P2.54mm_Vertical",""
"Conn_02x02_Odd_Even","J15","PinSocket_2x02_P2.54mm_Vertical",""
"Conn_02x02_Odd_Even","J16","PinSocket_2x02_P2.54mm_Vertical",""
"Conn_02x02_Odd_Even","J17","PinSocket_2x02_P2.54mm_Vertical",""
"Conn_02x02_Odd_Even","J18","PinSocket_2x02_P2.54mm_Vertical",""
"Conn_02x02_Odd_Even","J19","PinSocket_2x02_P2.54mm_Vertical",""
"Conn_02x02_Odd_Even","J20","PinSocket_2x02_P2.54mm_Vertical",""
"Conn_02x02_Odd_Even","J21","PinSocket_2x02_P2.54mm_Vertical",""
"Conn_02x02_Odd_Even","J22","PinSocket_2x02_P2.54mm_Vertical",""
"2-6447232-3","J23","TE 2-6447232-3",""
"Conn_02x02_Odd_Even","J24","PinSocket_2x02_P2.54mm_Vertical",""
"2-6447232-3","J25","TE 2-6447232-3",""
"Module:power_12and5V/0.3","M1","power_12and5V",""
"Module:vr-discrete/0.5","M3","vr-discrete",""
"Module:vr-max9924/0.1","M4","vr-max9924",""
"Module:wbo/0.5","M5","wbo",""
"Module:mega-mcu100/0.3","M6","mega-mcu100",""
"Pad","P3","PAD-TH",""
"Pad","P4","PAD-TH",""
"Pad","P5","PAD-TH",""
"Pad","P6","PAD-TH",""
"4.7k","R1","R0603",""
"33k","R2","R0603","C4216"
"6.8k","R3","R0603","C23212"
"Jumper-Pad-Pad","R4","PAD-0805-PAD","C17477"
"0","R5","R0603",""
"5.6k","R7","R0603","C23189"
"5.6k","R8","R0603","C23189"
"4.7k","R10","R0603","C23162"
"4.7k","R11","R0603","C23162"
"4.7k","R15","R0603","C23162"
"4.7k","R16","R0603","C23162"
"4.7k","R29","R0603","C23162"
"4.7k","R30","R0603","C23162"
"4.7k","R31","R0603","C23162"
"4.7k","R32","R0603","C23162"
"10k","R35","R0805","C17414"
"10k","R36","R0805","C17414"
"10k","R37","R0805","C17414"
"DNP","R38","R0805",""
"DNP","R39","R0805",""
"DNP","R40","R0805",""
"MPX4/MPXH6400_MAP","U3","MPX-4_MAP",""
"VNLD5160TR-E","U6","SO8","C377942"
"VNLD5160TR-E","U7","SO8","C377942"
"VNLD5160TR-E","U9","SO8","C377942"
"VNLD5160TR-E","U10","SO8","C377942"
