Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","CR1220","CR1220-2",-125.182487,25.510000,90.000000,bottom
"C1","10u","C0805",-37.307487,18.970000,-90.000000,bottom
"C2","10u","C0805",-39.307487,18.970000,-90.000000,bottom
"C3","10u","C0805",-41.307487,18.970000,-90.000000,bottom
"C4","10u","C0805",-43.307487,18.970000,-90.000000,bottom
"C5","10u","C0805",-45.307487,18.970000,-90.000000,bottom
"C6","10u","C0805",-37.307487,14.970000,90.000000,bottom
"C7","10u","C0805",-39.307487,14.970000,90.000000,bottom
"C8","10u","C0805",-41.307487,14.970000,90.000000,bottom
"C9","10u","C0805",-43.307487,14.970000,90.000000,bottom
"C10","10u","C0805",-45.307487,14.970000,90.000000,bottom
"C14","10u","C0805",-43.782487,9.510000,-90.000000,bottom
"C15","10u","C0805",-45.782487,9.510000,-90.000000,bottom
"C16","10u","C0805",-47.782487,9.510000,-90.000000,bottom
"C17","10u","C0805",-49.782487,9.510000,-90.000000,bottom
"C18","10u","C0805",-51.782487,9.510000,-90.000000,bottom
"C19","10u","C0805",-43.782487,5.510000,90.000000,bottom
"C20","10u","C0805",-45.782487,5.510000,90.000000,bottom
"C21","10u","C0805",-47.782487,5.510000,90.000000,bottom
"C22","10u","C0805",-49.782487,5.510000,90.000000,bottom
"C23","10u","C0805",-51.782487,5.510000,90.000000,bottom
"C27","100n","C0603",-94.982487,65.110000,-90.000000,bottom
"C28","10n","C0603",-86.982487,82.610000,0.000000,bottom
"C29","100n","C0603",-88.682487,77.092023,0.000000,bottom
"C30","10n","C0603",-90.372488,82.610000,180.000000,bottom
"C31","100n","C0603",-92.782487,73.510000,90.000000,bottom
"C32","1u","C0603",-94.582487,73.510000,90.000000,bottom
"C33","100n","C0603",-130.182487,34.010000,-90.000000,bottom
"D1","1N4148WS","SOD-323",-121.182487,16.010000,0.000000,bottom
"D2","B5819W","SOD-123",-52.182487,70.510000,90.000000,bottom
"D4","B5819W","SOD-123",-52.182487,78.010000,90.000000,bottom
"D8","NUP2105L","SOT-23",-88.682487,79.592023,-90.000000,bottom
"F5","50mA","Fuse_0603_1608Metric",-63.232487,55.410000,-90.000000,bottom
"F6","50mA","Fuse_0603_1608Metric",-63.232487,62.410000,-90.000000,bottom
"F7","50mA","Fuse_0603_1608Metric",-63.332487,48.410000,-90.000000,bottom
"F8","50mA","Fuse_0603_1608Metric",-63.282487,41.460000,-90.000000,bottom
"F9","50mA","Fuse_0603_1608Metric",-63.282487,34.460000,-90.000000,bottom
"F10","50mA","Fuse_0603_1608Metric",-116.332487,32.460000,-90.000000,bottom
"L1","470R@100MHz","L_0603_1608Metric",-89.682487,85.010000,-90.000000,bottom
"L2","470R@100MHz","L_0603_1608Metric",-87.682487,85.010000,-90.000000,bottom
"R2","33k","R0603",-49.182487,21.010000,90.000000,bottom
"R3","6.8k","R0603",-49.182487,18.010000,90.000000,bottom
"R5","0","R0603",-90.082487,61.810000,-90.000000,bottom
"R6","0","R0603",-110.782487,70.810000,-90.000000,bottom
"R7","5.6k","R0603",-82.182487,4.388318,90.000000,bottom
"R8","5.6k","R0603",-84.682487,4.388318,90.000000,bottom
"R12","4.7k","R0603",-63.482487,76.710000,90.000000,bottom
"R13","4.7k","R0603",-63.482487,73.310000,90.000000,bottom
"R15","4.7k","R0603",-35.682487,89.860000,90.000000,bottom
"R16","4.7k","R0603",-38.232487,89.860000,90.000000,bottom
"R17","22","R0603",-61.694987,62.410000,90.000000,bottom
"R18","22","R0603",-61.694987,55.410000,90.000000,bottom
"R19","22","R0603",-61.694987,48.410000,90.000000,bottom
"R20","0","R_2512_6332Metric",-57.082487,62.410000,180.000000,bottom
"R21","0","R_2512_6332Metric",-57.082487,55.410000,180.000000,bottom
"R22","0","R_2512_6332Metric",-57.082487,48.410000,180.000000,bottom
"R23","22","R0603",-61.694987,41.410000,90.000000,bottom
"R24","22","R0603",-61.694987,34.410000,90.000000,bottom
"R25","22","R0603",-61.694987,27.410000,90.000000,bottom
"R26","0","R_2512_6332Metric",-57.082487,41.410000,180.000000,bottom
"R27","0","R_2512_6332Metric",-57.082487,34.410000,180.000000,bottom
"R28","0","R_2512_6332Metric",-57.082487,27.410000,180.000000,bottom
"R29","4.7k","R0603",-37.432487,41.810000,90.000000,bottom
"R30","4.7k","R0603",-69.382487,26.160000,90.000000,bottom
"R31","4.7k","R0603",-35.732487,41.810000,90.000000,bottom
"R32","4.7k","R0603",-67.032487,28.410000,-90.000000,bottom
"R33","4.7k","R0603",-65.182487,28.010000,-90.000000,bottom
"R34","4.7k","R0603",-39.082487,41.810000,90.000000,bottom
"U4","MAX31855KASA","SOIC-8_3.9x4.9mm_P1.27mm",-88.682487,71.810000,-90.000000,bottom
"U6","VNLD5160TR-E","SOIC-8_3.9x4.9mm_P1.27mm",-37.617487,84.285000,-90.000000,bottom
"U8","VNLD5160TR-E","SOIC-8_3.9x4.9mm_P1.27mm",-58.507487,75.605000,180.000000,bottom
