"Comment","Designator","Footprint","LCSC Part #"
"CR1220","BT1","kicad6-libraries:CR1220-2","C70381"
"100n","C27","hellen-one-common:C0603","C14663"
"100n","C33","hellen-one-common:C0603","C14663"
"1N4148WS","D1","hellen-one-common:SOD-323","C2128"
"B5819W","D2","hellen-one-common:SOD-123","C8598"
"B5819W","D3","hellen-one-common:SOD-123","C8598"
"B5819W","D4","hellen-one-common:SOD-123","C8598"
"B5819W","D5","hellen-one-common:SOD-123","C8598"
"12H1500D","F1","hellen-one-common:PAD-1206-PAD","C182446"
"12H1500D","F2","hellen-one-common:PAD-1206-PAD","C182446"
"50mA","F5","Fuse:Fuse_0603_1608Metric","C369141"
"50mA","F6","Fuse:Fuse_0603_1608Metric","C369141"
"50mA","F7","Fuse:Fuse_0603_1608Metric","C369141"
"50mA","F8","Fuse:Fuse_0603_1608Metric","C369141"
"50mA","F9","Fuse:Fuse_0603_1608Metric","C369141"
"50mA","F10","Fuse:Fuse_0603_1608Metric","C369141"
"M3","H1","MountingHole:MountingHole_3.2mm_M3_Pad_Via",""
"M3","H2","MountingHole:MountingHole_3.2mm_M3_Pad_Via",""
"M3","H3","MountingHole:MountingHole_3.2mm_M3_Pad_Via",""
"M3","H4","MountingHole:MountingHole_3.2mm_M3_Pad_Via",""
"Conn_02x02_Odd_Even","J1","Connector_PinSocket_2.54mm:PinSocket_2x02_P2.54mm_Vertical",""
"5569-20A2","J2","Connector_Molex:Molex_Mini-Fit_Jr_5569-20A2_2x10_P4.20mm_Horizontal","C485578"
"5569-06A2","J3","Connector_Molex:Molex_Mini-Fit_Jr_5569-06A2_2x03_P4.20mm_Horizontal","C293509"
"5569-08A2","J4","Connector_Molex:Molex_Mini-Fit_Jr_5569-08A2_2x04_P4.20mm_Horizontal","C490533"
"5569-18A2","J5","Connector_Molex:Molex_Mini-Fit_Jr_5569-18A2_2x09_P4.20mm_Horizontal","C240834"
"Conn_01x06","J6","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","C37208"
"Conn_01x05_Male","J7","Connector_Molex:Molex_SPOX_5267-05A_1x05_P2.50mm_Vertical",""
"USB_B_Mini","J8","hellen-one-common:USB-MINI-B-VERTICAL",""
"USB_C","J9","kicad6-libraries:USB_C","C2927038"
"5569-16A2","J10","Connector_Molex:Molex_Mini-Fit_Jr_5569-16A2_2x08_P4.20mm_Horizontal","C485577"
"Conn_02x02_Odd_Even","J11","Connector_PinSocket_2.54mm:PinSocket_2x02_P2.54mm_Vertical",""
"Conn_02x02_Odd_Even","J12","Connector_PinSocket_2.54mm:PinSocket_2x02_P2.54mm_Vertical",""
"Conn_02x02_Odd_Even","J13","Connector_PinSocket_2.54mm:PinSocket_2x02_P2.54mm_Vertical",""
"Conn_02x02_Odd_Even","J14","Connector_PinSocket_2.54mm:PinSocket_2x02_P2.54mm_Vertical",""
"Conn_02x02_Odd_Even","J15","Connector_PinSocket_2.54mm:PinSocket_2x02_P2.54mm_Vertical",""
"Conn_02x02_Odd_Even","J16","Connector_PinSocket_2.54mm:PinSocket_2x02_P2.54mm_Vertical",""
"Conn_02x02_Odd_Even","J17","Connector_PinSocket_2.54mm:PinSocket_2x02_P2.54mm_Vertical",""
"Conn_02x02_Odd_Even","J18","Connector_PinSocket_2.54mm:PinSocket_2x02_P2.54mm_Vertical",""
"Conn_02x02_Odd_Even","J19","Connector_PinSocket_2.54mm:PinSocket_2x02_P2.54mm_Vertical",""
"Conn_02x02_Odd_Even","J20","Connector_PinSocket_2.54mm:PinSocket_2x02_P2.54mm_Vertical",""
"Conn_02x02_Odd_Even","J21","Connector_PinSocket_2.54mm:PinSocket_2x02_P2.54mm_Vertical",""
"Conn_02x02_Odd_Even","J22","Connector_PinSocket_2.54mm:PinSocket_2x02_P2.54mm_Vertical",""
"2-6447232-3","J23","kicad6-libraries:TE 2-6447232-3",""
"Conn_02x02_Odd_Even","J24","Connector_PinSocket_2.54mm:PinSocket_2x02_P2.54mm_Vertical",""
"2-6447232-3","J25","kicad6-libraries:TE 2-6447232-3",""
"Module-power_12and5V-0.3","M1","hellen-one-power_12and5V-0.3:power_12and5V",""
"Module-knock-0.2","M2","hellen-one-knock-0.2:knock",""
"Module-vr-discrete-0.5","M3","hellen-one-vr-discrete-0.5:vr-discrete",""
"Module-vr-max9924-0.1","M4","hellen-one-vr-max9924-0.1:vr-max9924",""
"Module-wbo-0.5","M5","hellen-one-wbo-0.5:wbo",""
"Module:mega-mcu100/0.3","M6","hellen-one-mega-mcu100-0.3:mega-mcu100",""
"Pad","P3","hellen-one-common:PAD-TH",""
"Pad","P4","hellen-one-common:PAD-TH",""
"Pad","P5","hellen-one-common:PAD-TH",""
"Pad","P6","hellen-one-common:PAD-TH",""
"Pad","P7","hellen-one-common:PAD-TH",""
"Pad","P8","hellen-one-common:PAD-TH",""
"4.7k","R1","hellen-one-common:R0603",""
"33k","R2","hellen-one-common:R0603","C4216"
"6.8k","R3","hellen-one-common:R0603","C23212"
"Jumper-Pad-Pad","R4","hellen-one-common:PAD-0805-PAD","C17477"
"0","R5","hellen-one-common:R0603",""
"0","R6","hellen-one-common:R0603","C21189"
"5.6k","R7","hellen-one-common:R0603","C23189"
"5.6k","R8","hellen-one-common:R0603","C23189"
"4.7k","R10","hellen-one-common:R0603","C23162"
"4.7k","R11","hellen-one-common:R0603","C23162"
"4.7k","R12","hellen-one-common:R0603","C23162"
"4.7k","R13","hellen-one-common:R0603","C23162"
"4.7k","R15","hellen-one-common:R0603","C23162"
"4.7k","R16","hellen-one-common:R0603","C23162"
"4.7k","R29","hellen-one-common:R0603","C23162"
"4.7k","R30","hellen-one-common:R0603","C23162"
"4.7k","R31","hellen-one-common:R0603","C23162"
"4.7k","R32","hellen-one-common:R0603","C23162"
"4.7k","R33","hellen-one-common:R0603","C23162"
"4.7k","R34","hellen-one-common:R0603","C23162"
"10k","R35","hellen-one-common:R0805","C17414"
"10k","R36","hellen-one-common:R0805","C17414"
"10k","R37","hellen-one-common:R0805","C17414"
"DNP","R38","hellen-one-common:R0805",""
"DNP","R39","hellen-one-common:R0805",""
"DNP","R40","hellen-one-common:R0805",""
"MPX4/MPXH6400_MAP","U3","kicad6-libraries:MPX-4_MAP",""
"JDY-33","U5","kicad6-libraries:JDY-33","C9900001612"
"VNLD5160TR-E","U6","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","C377942"
"VNLD5160TR-E","U7","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","C377942"
"VNLD5160TR-E","U8","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","C377942"
"VNLD5160TR-E","U9","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","C377942"
"VNLD5160TR-E","U10","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","C377942"
"VNLD5160TR-E","U11","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","C377942"
